name,sido,cl_name,url,reason,staff_urls,ignore_robots
삼육부산병원,부산,종합병원,http://www.bah.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
영도병원,부산,종합병원,http://www.ydh.co.kr,의료진 페이지에서 의사를 찾지 못함,,
의료법인 광혜의료재단 광혜병원,부산,종합병원,http://www.gwanghyehospital.com,홈페이지 접속 실패: ConnectError: [SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1010),,
의료법인 은성의료재단 좋은강안병원,부산,종합병원,http://gang-an.or.kr/index.php,홈페이지 접속 실패: HTTP 404,,
의료법인 은성의료재단 좋은삼선병원,부산,종합병원,http://www.samsun.or.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인정화의료재단 봉생기념병원,부산,종합병원,http://www.bongseng.co.kr/index.asp,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
재단법인일신기독교선교회 일신기독병원,부산,종합병원,http://www.ilsin.or.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
좋은문화병원,부산,종합병원,http://www.moonhwa.or.kr/,의료진 페이지에서 의사를 찾지 못함,,
학교법인)동의병원,부산,종합병원,http://www.demc.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
한국보훈복지의료공단 부산보훈병원,부산,종합병원,https://busan.bohun.or.kr/,의료진 페이지 수집 실패 (모든 페이지 오류),,
(의) 내경의료재단 울산제일병원,울산,병원,http://www.ujh.co.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
(의)인석의료재단 보람병원,울산,병원,http://ulsan.imc-boram.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
에이치엠병원,울산,병원,http://www.hmhospital.com,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
울들병원,울산,병원,http://www.bestweare.com,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
울산미즈병원,울산,병원,http://www.ulsanmizhospital.co.kr/,의료진 페이지에서 의사를 찾지 못함,,
의)정우의료재단 더프라우병원,울산,병원,http://www.fraumedi.com,의료진 페이지에서 의사를 찾지 못함,,
의료법인 송은의료재단 울산시티2병원,울산,병원,http://www.cityhospital.co.kr/,의료진 페이지에서 의사를 찾지 못함,,
자재병원,울산,병원,http://www.jajae-hospital.com,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
학교법인 울산공업학원 울산대학교병원,울산,상급종합,https://www.uuh.ulsan.kr/main/main.asp,의료진 페이지에서 의사를 찾지 못함,,
고려요양병원,울산,요양병원,http://www.krhospital.co.kr,의료진 페이지에서 의사를 찾지 못함,,
상록수요양병원,울산,요양병원,http://www.sangnocsu.com/,홈페이지 접속 실패: HTTP 403,,
새생명요양병원,울산,요양병원,http://www.새생명요양병원.kr,의료진 페이지에서 의사를 찾지 못함,,
의)우아의료재단 달동길메리요양병원,울산,요양병원,http://gilmary2.co.kr/,의료진 페이지에서 의사를 찾지 못함,,
의료법인 우아의료재단 길메리요양병원,울산,요양병원,http://bgilmary.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
서울산보람병원,울산,종합병원,http://eunyang.imc-boram.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
울산병원,울산,종합병원,http://www.ush.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인 동강의료재단 동강병원,울산,종합병원,http://www.dkmc.or.kr,의료진 페이지에서 의사를 찾지 못함,,
